decimalLatitude,decimalLongitude,eventDate,month,species
12.92417,123.56277,2007-06-05 12:00:00+00:00,6,whale_shark
28.8923700022,-113.5133883333,2024-08-04 22:10:22+00:00,8,whale_shark
-21.9013,113.9015,2004-05-13 12:00:00+00:00,5,whale_shark
-10.5019,105.6772,2005-01-13 12:00:00+00:00,1,whale_shark
16.06355,-86.82037,2005-02-13 12:00:00+00:00,2,whale_shark
-21.9013,113.9015,2005-06-27 12:00:00+00:00,6,whale_shark
-21.9013,113.9015,2008-05-08 12:00:00+00:00,5,whale_shark
-21.9013,113.9015,2009-06-24 12:00:00+00:00,6,whale_shark
24.1886938776,-110.4632880806,2022-04-03 01:39:00+00:00,4,whale_shark
-21.9013,113.9015,2007-06-18 12:00:00+00:00,6,whale_shark
-21.9013,113.9015,2009-05-01 12:00:00+00:00,5,whale_shark
-21.9013,113.9015,2006-06-14 12:00:00+00:00,6,whale_shark
-21.9013,113.9015,2009-05-25 12:00:00+00:00,5,whale_shark
-23.9736,35.5122,2005-05-14 12:00:00+00:00,5,whale_shark
-21.9013,113.9015,2009-04-16 12:00:00+00:00,4,whale_shark
12.9333,123.533,2009-05-04 12:00:00+00:00,5,whale_shark
-23.9736,35.5122,2006-09-28 12:00:00+00:00,9,whale_shark
-21.9013,113.9015,2009-06-02 12:00:00+00:00,6,whale_shark
-23.9736,35.5122,2006-02-09 12:00:00+00:00,2,whale_shark
24.1769451349,-110.3776969869,2019-02-27 04:46:23+00:00,2,whale_shark
3.47272,72.79905,2006-04-21 12:00:00+00:00,4,whale_shark
-23.9736,35.5122,2005-12-03 12:00:00+00:00,12,whale_shark
-21.95,113.9,2009-05-15 12:00:00+00:00,5,whale_shark
12.9333,123.533,2007-05-09 12:00:00+00:00,5,whale_shark
16.6756913955,-87.9322332944,2013-05-27 21:27:00+00:00,5,whale_shark
-23.9736,35.5122,2007-06-05 12:00:00+00:00,6,whale_shark
28.88333,-113.5,2008-11-17 12:00:00+00:00,11,whale_shark
-23.0322,113.715,2007-05-17 12:00:00+00:00,5,whale_shark
-21.96258,113.90678,2007-05-17 12:00:00+00:00,5,whale_shark
-23.9736,35.5122,2005-10-31 12:00:00+00:00,10,whale_shark
-23.0322,113.715,2009-04-12 12:00:00+00:00,4,whale_shark
-21.9013,113.9015,2000-05-08 12:00:00+00:00,5,whale_shark
-21.9013,113.9015,2006-05-02 12:00:00+00:00,5,whale_shark
-23.86889,35.55611,2008-09-11 12:00:00+00:00,9,whale_shark
-3.2369513306,134.8311329458,2025-11-19 23:06:49+00:00,11,whale_shark
-21.9013,113.9015,2006-06-07 12:00:00+00:00,6,whale_shark
21.46667,-86.71667,2009-01-16 12:00:00+00:00,1,whale_shark
-23.9736,35.5122,2008-04-10 12:00:00+00:00,4,whale_shark
-21.9013,113.9015,2001-05-18 12:00:00+00:00,5,whale_shark
12.91667,123.51667,2009-05-13 12:00:00+00:00,5,whale_shark
4.5048671886,118.9905312005,2023-06-15 11:11:00+00:00,6,whale_shark
12.92611,123.56223,2007-06-05 12:00:00+00:00,6,whale_shark
12.9333,123.533,2009-02-08 12:00:00+00:00,2,whale_shark
-21.91667,113.9,2001-05-09 12:00:00+00:00,5,whale_shark
12.91667,123.53333,2009-05-14 12:00:00+00:00,5,whale_shark
-21.9013,113.9015,2004-06-28 12:00:00+00:00,6,whale_shark
12.9333,123.533,2008-04-19 12:00:00+00:00,4,whale_shark
3.46667,72.81667,2005-07-22 12:00:00+00:00,7,whale_shark
-23.0322,113.715,2003-05-11 12:00:00+00:00,5,whale_shark
16.1392,-86.9041,2009-03-24 12:00:00+00:00,3,whale_shark
24.3104408126,-110.5074198652,2026-01-24 08:11:58+00:00,1,whale_shark
16.1392,-86.9041,2005-05-02 12:00:00+00:00,5,whale_shark
1.61667,-92.0,2007-07-10 12:00:00+00:00,7,whale_shark
