decimalLatitude,decimalLongitude,eventDate,month,species,sst
21.58333,-86.68333,2009-06-12 12:00:00+00:00,6,whale_shark,26.90678618430672
-21.9013,113.9015,2008-04-21 12:00:00+00:00,4,whale_shark,25.675786608329787
-21.96027,113.9108,2007-06-09 12:00:00+00:00,6,whale_shark,25.518224411162183
-21.9013,113.9015,2008-06-14 12:00:00+00:00,6,whale_shark,25.675786608329787
-21.9013,113.9015,2004-04-16 12:00:00+00:00,4,whale_shark,25.675786608329787
12.9333,123.533,2009-04-04 12:00:00+00:00,4,whale_shark,28.51596874092765
-21.9013,113.9015,2009-05-03 12:00:00+00:00,5,whale_shark,25.675786608329787
21.5727483424,-86.9009908399,2019-07-06 08:55:04+00:00,7,whale_shark,26.84802360428226
-21.9013,113.9015,2008-07-27 12:00:00+00:00,7,whale_shark,25.675786608329787
19.6162410853,-156.1509107069,2021-12-01 08:43:38+00:00,12,whale_shark,25.954425877466253
-21.9013,113.9015,2003-06-01 12:00:00+00:00,6,whale_shark,25.675786608329787
-21.9013,113.9015,2009-06-06 12:00:00+00:00,6,whale_shark,25.675786608329787
-23.9736,35.5122,2005-11-21 12:00:00+00:00,11,whale_shark,25.938334449139674
-21.9013,113.9015,2007-05-12 12:00:00+00:00,5,whale_shark,25.675786608329787
-21.9013,113.9015,2005-05-22 12:00:00+00:00,5,whale_shark,25.675786608329787
-21.9013,113.9015,2006-05-11 12:00:00+00:00,5,whale_shark,25.675786608329787
12.9333,123.533,2009-03-23 12:00:00+00:00,3,whale_shark,28.51596874092765
12.9333,123.533,2008-03-25 12:00:00+00:00,3,whale_shark,28.51596874092765
-23.9736,35.5122,2006-11-29 12:00:00+00:00,11,whale_shark,25.938334449139674
-21.9013,113.9015,2006-05-25 12:00:00+00:00,5,whale_shark,25.675786608329787
-23.0322,113.715,2007-05-29 12:00:00+00:00,5,whale_shark,25.036788672847557
16.5,-87.96667,2009-04-14 12:00:00+00:00,4,whale_shark,28.480470372025795
-21.9013,113.9015,2008-04-09 12:00:00+00:00,4,whale_shark,25.675786608329787
9.531595178,123.2562225787,2025-07-05 19:04:00+00:00,7,whale_shark,29.08466877570812
12.9333,123.533,2009-05-08 12:00:00+00:00,5,whale_shark,28.51596874092765
12.9333,123.533,2008-03-09 12:00:00+00:00,3,whale_shark,28.51596874092765
-4.7245492769,55.3127061843,2024-08-29 07:54:00+00:00,8,whale_shark,28.349992850151256
12.9333,123.533,2007-05-23 12:00:00+00:00,5,whale_shark,28.51596874092765
-22.84722,113.725,2008-04-16 12:00:00+00:00,4,whale_shark,24.81780414213138
3.49167,72.9,2008-04-24 12:00:00+00:00,4,whale_shark,29.29275481614929
-23.9736,35.5122,2006-02-16 12:00:00+00:00,2,whale_shark,25.938334449139674
-23.9736,35.5122,2005-12-17 12:00:00+00:00,12,whale_shark,25.938334449139674
-21.9013,113.9015,2009-04-21 12:00:00+00:00,4,whale_shark,25.675786608329787
9.93333,99.98333,2007-06-27 12:00:00+00:00,6,whale_shark,29.30902393925889
16.1392,-86.9041,2007-04-21 12:00:00+00:00,4,whale_shark,28.382852796658298
-21.7201096268,113.9634173497,2017-07-21 05:36:00+00:00,7,whale_shark,25.97264399232692
9.5196560765,124.0398795315,2022-08-11 12:09:33+00:00,8,whale_shark,28.91101353820437
24.1795222361,-110.355508109,2022-03-25 09:54:38+00:00,3,whale_shark,25.649328184524276
3.5282381713,72.8785422699,2021-07-27 05:22:00+00:00,7,whale_shark,29.303136836517922
16.13215,-86.86355,2005-04-11 12:00:00+00:00,4,whale_shark,28.382852796658298
